secucode,count
sz002504,0
sh600713,0
sh600343,0
sh600345,0
sz000902,0
sz000903,0
sz000900,0
sz000901,0
sz000906,0
sz000983,0
sz000905,0
sh601628,0
sz000908,0
sz000909,0
sh600335,0
sh600990,0
sh600337,0
sh600336,0
sh600331,0
sh600330,0
sz002238,0
sh600332,0
sz002236,0
sz002237,0
sz002234,0
sz002235,0
sh600339,0
sz002233,0
sz002230,0
sz002231,0
sz000698,0
sz000699,0
sh600519,0
sh600518,0
sz000692,0
sz000693,0
sz000690,0
sh600516,0
sh600511,0
sh600510,0
sh600513,0
sz000695,0
sz002838,0
sz002839,0
sz002830,0
sz002831,0
sz002832,0
sz002833,0
sz002835,0
sz002836,0
sz002837,0
sh600199,0
sh600198,0
sh600191,0
sh600190,0
sh600193,0
sh600192,0
sh600195,0
sh600197,0
sh600196,0
sh600429,0
sh600428,0
sh601111,0
sh601116,0
sh601117,0
sh600421,0
sh600420,0
sh600423,0
sh600422,0
sh600425,0
sh600426,0
sh600601,0
sh600600,0
sh600603,0
sh600602,0
sh600605,0
sh600604,0
sh600607,0
sh600606,0
sh600609,0
sh600608,0
sz000878,0
sz000876,0
sz000877,0
sz000875,0
sz000058,0
sh601801,0
sz000055,0
sz000056,0
sz000050,0
sz000558,0
sz300132,0
sz300133,0
sz300130,0
sz300131,0
sz300136,0
sz300137,0
sz300134,0
sz300135,0
sz300138,0
sz300139,0
sz001896,0
sz000803,0
sz000802,0
sz000985,0
sz000801,0
sz000556,0
sz000807,0
sz000806,0
sz000553,0
sz300006,0
sz300007,0
sz300004,0
sz300005,0
sz300002,0
sz300003,0
sz300001,0
sz000301,0
sz300008,0
sz300009,0
sh603648,0
sh600993,0
sh600992,0
sh603239,0
sz002434,0
sh600995,0
sh600239,0
sz002643,0
sh600333,0
sz002642,0
sz002239,0
sz002317,0
sh600999,0
sz300318,0
sz300319,0
sz002435,0
sh600998,0
sz300312,0
sz300313,0
sz300310,0
sz300311,0
sz300316,0
sz300317,0
sz300314,0
sz002646,0
sh600237,0
sz002313,0
sz002232,0
sz002312,0
sh600338,0
sz002649,0
sh603683,0
sz000753,0
sz002648,0
sz000752,0
sz002319,0
sz000751,0
sz002318,0
sz002755,0
sz002757,0
sz002756,0
sz002751,0
sz002750,0
sz002753,0
sz002752,0
sh603507,0
sz000757,0
sh603505,0
sz002759,0
sz002758,0
sh603501,0
sh600693,0
sz300148,0
sz000755,0
sz300268,0
sz300269,0
sz300266,0
sz300267,0
sz300264,0
sz300265,0
sz300262,0
sz300263,0
sz300260,0
sz300261,0
sh600515,0
sh600517,0
sh601186,0
sz002116,0
sz000697,0
sz002056,0
sh600512,0
sz002359,0
sz002358,0
sh600807,0
sz002351,0
sz002350,0
sz002353,0
sz002352,0
sz002355,0
sz002354,0
sz002357,0
sz002356,0
sz002687,0
sz002686,0
sz002685,0
sz002684,0
sz002683,0
sz002682,0
sz002681,0
sz002680,0
sz002527,0
sz002689,0
sz002688,0
sz002406,0
sz300659,0
sz300658,0
sz300657,0
sz300656,0
sz300655,0
sz300654,0
sz300653,0
sz300652,0
sz300651,0
sz300650,0
sh600850,0
sh603238,0
sh600852,0
sh600853,0
sz002539,0
sz002538,0
sh600856,0
sh600857,0
sz002535,0
sz002534,0
sz002537,0
sz002536,0
sz002531,0
sz002530,0
sz002533,0
sz002532,0
sh603727,0
sh603726,0
sh603725,0
sh603722,0
sh603721,0
sh603729,0
sh603728,0
sh600298,0
sh600299,0
sh600292,0
sh600293,0
sh600290,0
sh600291,0
sh600296,0
sh600297,0
sz000760,0
sh600295,0
sz000915,0
sz000917,0
sz000916,0
sz000911,0
sz000910,0
sz000913,0
sz000912,0
sz000919,0
sz000918,0
sz002571,0
sz002221,0
sz002220,0
sz002223,0
sz002222,0
sz002225,0
sz002224,0
sz002227,0
sz002226,0
sz002229,0
